CROP,N,P,K,PH,RAINFALL,TEMP
MANGO,20,20,30,5.14,714.68,26.45
MANGO,20,20,30,4.88,1603.2375,22.89
MOONG,20,40,20,5.6,331.88,35.34
MOONG,20,40,20,5.5,1246.715,22.6
MOONG,20,40,20,5.54,1011.49,30.43
MOONG,20,40,20,5.66,790.98,30.61
MOONG,20,40,20,5.6,654.34,29.26
MOONG,20,40,20,5.38,207.55,26.43
MOONG,20,40,20,5.44,790.98,30.61
MOONG,20,40,20,5.36,579.75,34.01
MOONG,20,40,20,5.56,1011.49,30.43
MOONG,20,40,20,5.62,840.46,33.58
ONION,120,60,65,5.94,810.26,29.95
ONION,120,60,65,5.98,556.2,28.54
ONION,120,60,65,6.02,884.5,27.65
ONION,120,60,65,5.9,75.32,22.676
ONION,120,60,65,5.82,689.88,29.03
ONION,120,60,65,5.98,689.88,29.03
ONION,120,60,65,5.82,1111.68,28.64
ONION,120,60,65,6.0,1111.68,28.64
ONION,120,60,65,5.94,1026.64,29.18
ONION,120,60,65,5.86,1299.26,26.51
ORANGE,20,10,10,4.04,2169.32,23.73
ORANGE,20,10,10,4.04,2169.32,23.73
ORANGE,20,10,10,4.18,2169.32,23.73
ORANGE,20,10,10,3.86,2169.32,23.73
ORANGE,20,10,10,4.16,1111.68,28.64
ORANGE,20,10,10,3.92,1037.32,28.08
ORANGE,20,10,10,4.16,1111.68,28.64
ORANGE,20,10,10,4.0,1350.025,26.01
ORANGE,20,10,10,4.16,1037.32,28.08
ORANGE,20,10,10,3.92,1037.32,28.08
PAPAYA,50,50,50,6.08,556.2,28.54
PAPAYA,50,50,50,5.92,1299.26,26.51
PAPAYA,50,50,50,6.14,2169.32,23.73
PAPAYA,50,50,50,5.88,2169.32,23.73
PAPAYA,50,50,50,6.0,884.5,27.64
PAPAYA,50,50,50,6.16,2169.32,23.73
PAPAYA,50,50,50,5.94,2169.32,23.73
PAPAYA,50,50,50,5.84,556.2,28.54
PAPAYA,50,50,50,6.1,556.2,28.54
PAPAYA,50,50,50,6.16,1603.2375,22.89
PINEAPPLE,160,40,120,6.5,884.5,27.65
PINEAPPLE,160,40,120,6.54,2817.86,27.9
PINEAPPLE,160,40,120,6.58,1350.025,26.01
PINEAPPLE,160,40,120,6.34,2169.32,23.73
PINEAPPLE,160,40,120,6.4,2169.32,23.73
PINEAPPLE,160,40,120,6.6,2169.32,23.73
PINEAPPLE,160,40,120,6.4,2169.32,23.73
PINEAPPLE,160,40,120,6.42,1050.245,18.77
PINEAPPLE,160,40,120,6.36,2169.32,23.73
PINEAPPLE,160,40,120,6.5,1050.245,18.77
POTATO,180,60,90,4.82,840.46,33.58
POTATO,180,60,90,5.08,810.26,29.95
POTATO,180,60,90,5.1,35.214,22.7
POTATO,180,60,90,4.98,169.82,14.6
POTATO,180,60,90,4.96,689.88,29.03
POTATO,180,60,90,4.86,1110.78,25.66
POTATO,180,60,90,4.96,169.82,14.6
POTATO,180,60,90,4.86,556.2,28.54
POTATO,180,60,90,4.86,167.38,23.56
POTATO,180,60,90,5.18,1111.68,28.64
PUMPKIN,80,50,30,5.42,884.5,27.65
PUMPKIN,80,50,30,5.58,884.5,27.65
PUMPKIN,80,50,30,5.64,884.5,27.65
PUMPKIN,80,50,30,5.58,884.5,27.65
PUMPKIN,80,50,30,5.64,884.5,27.65
PUMPKIN,80,50,30,5.5,884.5,27.65
PUMPKIN,80,50,30,5.68,884.5,27.65
PUMPKIN,80,50,30,5.34,884.5,27.65
PUMPKIN,80,50,30,5.52,884.5,27.65
PUMPKIN,80,50,30,5.52,884.5,27.65
RADISH,25,100,50,5.96,1350.025,26.01
RADISH,25,100,50,5.82,1350.025,26.01
RADISH,25,100,50,6.06,884.5,27.65
RADISH,25,100,50,5.92,1350.025,26.01
RADISH,25,100,50,5.92,1350.025,26.01
RADISH,25,100,50,5.84,1350.025,26.01
RADISH,25,100,50,6.06,884.5,27.65
RADISH,25,100,50,5.86,884.5,27.65
RADISH,25,100,50,6.06,1350.025,26.01
RADISH,25,100,50,6.12,884.5,27.65
RAGI,50,40,20,5.68,157.31,25.83
RAGI,50,40,20,5.62,199.2125,21.3
RAGI,50,40,20,5.66,1246.715,22.6
RAGI,50,40,20,5.54,1145.22,28.5
RAGI,50,40,20,5.38,1151.02,28.03
RAGI,50,40,20,5.46,840.46,33.58
RAGI,50,40,20,5.58,297.66,29.56
RAGI,50,40,20,5.66,288.3,25.46
RAGI,50,40,20,5.34,75.32,22.676
RAGI,50,40,20,5.6,167.38,23.56
RAPESEED,50,40,20,4.84,75.32,22.676
RAPESEED,50,40,20,5.14,73.47,23.562
RAPESEED,50,40,20,5.12,70.598,18.92
RAPESEED,50,40,20,4.92,240.1,10.38
RAPESEED,50,40,20,4.84,75.32,22.676
RAPESEED,50,40,20,5.0,152.54,22.28
RAPESEED,50,40,20,4.9,199.2125,21.3
RAPESEED,50,40,20,5.18,19.38,22.766
RAPESEED,50,40,20,5.18,167.38,23.56
RAPESEED,50,40,20,4.9,70.11,25.6
RICE,80,40,40,5.62,330.0,29.33
RICE,80,40,40,5.5,1246.715,22.6
RICE,80,40,40,5.46,330.0,29.33
RICE,80,40,40,5.58,790.98,30.61
RICE,80,40,40,5.44,1543.76,27.33
RICE,80,40,40,5.54,85.24316,21.482
RICE,80,40,40,5.34,1997.12,27.0
RICE,80,40,40,5.32,331.88,35.34
RICE,80,40,40,5.38,790.98,30.61
RICE,80,40,40,5.48,297.66,29.56
SOYABEAN,20,60,20,5.34,1011.49,30.43
SOYABEAN,20,60,20,5.52,1011.49,30.43
SOYABEAN,20,60,20,5.48,607.48,29.36
SOYABEAN,20,60,20,5.44,1246.715,22.6
SOYABEAN,20,60,20,5.54,1011.49,30.43
SOYABEAN,20,60,20,5.66,510.05,33.37
SOYABEAN,20,60,20,5.52,1151.02,28.03
SOYABEAN,20,60,20,5.34,579.75,34.01
SOYABEAN,20,60,20,5.4,1011.49,30.43
SOYABEAN,20,60,20,5.62,1246.715,22.6
SUNFLOWER,50,60,30,5.54,654.34,29.26
SUNFLOWER,50,60,30,5.5,199.2125,21.3
SUNFLOWER,50,60,30,5.36,167.38,23.56
SUNFLOWER,50,60,30,5.58,1011.49,30.43
SUNFLOWER,50,60,30,5.34,37.09,27.96
SUNFLOWER,50,60,30,5.38,1011.49,30.43
SUNFLOWER,50,60,30,5.34,297.66,29.56
SUNFLOWER,50,60,30,5.54,199.2125,21.3
SUNFLOWER,50,60,30,5.66,157.31,25.83
SUNFLOWER,50,60,30,5.4,34.81,34.66
SWEETPOTATO,90,20,120,4.84,2169.32,23.73
SWEETPOTATO,90,20,120,4.94,579.75,34.01
SWEETPOTATO,90,20,120,4.9,1299.26,26.51
SWEETPOTATO,90,20,120,5.16,556.2,28.54
SWEETPOTATO,90,20,120,4.94,2817.86,27.9
SWEETPOTATO,90,20,120,5.18,942.8,28.99
SWEETPOTATO,90,20,120,4.98,1426.3,26.73
SWEETPOTATO,90,20,120,5.02,1111.68,28.64
SWEETPOTATO,90,20,120,5.14,1111.68,28.64
SWEETPOTATO,90,20,120,5.0,1026.64,29.18
TOMATO,100,40,90,6.1,1037.32,28.08
TOMATO,100,40,90,6.04,1037.32,28.08
TOMATO,100,40,90,6.16,714.68,26.45
TOMATO,100,40,90,6.0,884.5,27.65
TOMATO,100,40,90,5.86,942.8,28.99
TOMATO,100,40,90,5.94,1111.68,28.64
TOMATO,100,40,90,6.0,1111.68,28.64
TOMATO,100,40,90,6.0,1111.68,28.64
TOMATO,100,40,90,6.08,1111.68,28.64
TOMATO,100,40,90,5.88,1111.68,28.64
TURMERIC,25,60,100,5.04,2817.86,27.9
TURMERIC,25,60,100,5.1,2817.86,27.9
TURMERIC,25,60,100,5.08,1050.245,18.77
TURMERIC,25,60,100,5.18,1426.3,26.73
TURMERIC,25,60,100,4.9,75.32,22.676
TURMERIC,25,60,100,5.0,1299.26,26.51
TURMERIC,25,60,100,5.16,884.5,27.65
TURMERIC,25,60,100,5.18,942.8,28.99
TURMERIC,25,60,100,4.92,2169.32,23.73
TURMERIC,25,60,100,4.96,1037.32,28.08
WHEAT,60,30,30,6.1,70.11,25.6
WHEAT,60,30,30,6.8,240.1,10.38
WHEAT,60,30,30,7.0,41.3,21.704
WHEAT,60,30,30,6.6,15.34,27.276
WHEAT,60,30,30,6.7,87.2,23.106
WHEAT,60,30,30,6.1,1111.68,28.64
WHEAT,60,30,30,6.11,75.32,22.676
WHEAT,60,30,30,6.3,73.47,23.562
WHEAT,60,30,30,6.12,113.7,30.26
WHEAT,60,30,30,6.5,15.34,27.276
